"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","itis_code"
"13","Limenitis archippus","Limenitis archippus","species","Vice-roi","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis archippus","777969"
"14","Colias philodice","Colias philodice","species","Coliade du trèfle","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias philodice","188529"
"15","Cupido amyntula","Cupido amyntula","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cupido","Elkalyce amyntula","777890"
"16","Plebejus idas","Plebejus idas","species","Moyen argus","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Lycaeides idas","777920"
"17","Plebejus saepiolus","Plebejus saepiolus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus saepiolus","777924"
"18","Speyeria aphrodite","Speyeria aphrodite","species","Argynne aphrodite","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria aphrodite","777992"
"19","Coenonympha inornata","Coenonympha tullia inornata","subspecies","Satyre fauve","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha inornata","188551"
"20","Erynnis icelus","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis icelus","706743"
"21","Poanes hobomok","Poanes hobomok","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lon","Poanes hobomok","706637"
"22","Papilio canadensis","Papilio canadensis","species","Papillon tigré du Canada","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio canadensis","777710"
"23","Satyrium titus","Satyrium titus","species","Porte-queue abrogé","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Harkenclenus","Satyrium titus","777817"
"24","Thorybes pylades","Thorybes pylades","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Thorybes","Thorybes pylades","706834"
"25","Carterocephalus palaemon","Carterocephalus palaemon","species","Echiquier","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carterocephalus","Carterocephalus palaemon","188607"
"26","Thymelicus lineola","Thymelicus lineola","species","Hespérie des graminées","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Thymelicus","Thymelicus lineola","188609"
"27","Polites themistocles","Polites themistocles","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites themistocles","706655"
"28","Callophrys niphon","Callophrys niphon","species","Lutin des pins","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia","Callophrys niphon","188504"
"29","Limenitis arthemis","Limenitis arthemis","species","Amiral","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis arthemis","188603"
"30","Colias eurytheme","Colias eurytheme","species","Coliade de la luzerne","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias eurytheme","188528"
"31","Polygonia progne","Polygonia progne","species","Polygone gris","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia progne","188591"
"32","Polyommatus icarus","Polyommatus icarus","species","Argus bleu","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Polyommatus","Polyommatus icarus",NA
"33","Vanessa virginiensis","Vanessa virginiensis","species","Vanesse virginiensis","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa virginiensis","188600"
"34","Boloria bellona","Boloria bellona","species","Boloria des prés","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Clossiana","Boloria bellona","188580"
"35","Phyciodes cocyta","Phyciodes cocyta","species","Croissant nordique","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","Phyciodes tharos","778095"
"36","Glaucopsyche piasus","Glaucopsyche piasus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Glaucopsyche","Glaucopsyche piasus","777916"
"37","Hesperia leonardus","Hesperia leonardus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia leonardus","706620"
"38","Lycaena hyllus","Lycaena hyllus","species","Bronzé d'amérique","Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Lycaena","Lycaena hyllus","777798"
"39","Junonia coenia","Junonia coenia","species","Papillon ocellé","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Junonia","Junonia coenia","778049"
"40","Satyrium liparops","Satyrium liparops","species","Porte-queue à lignes brisées","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium liparops","777822"
"41","Polites origenes","Polites origenes","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites origenes","706649"
"42","Speyeria cybele","Speyeria cybele","species","Argynne cybèle","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria cybele","777991"
"43","Anatrytone logan","Anatrytone logan","species","Hespérie de logan","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atrytone","Atrytone delaware","707256"
"44","Papilio cresphontes","Papilio cresphontes","species","Grand porte-queue","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio cresphontes","777702"
"45","Cupido comyntas","Cupido comyntas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Elkalyce","Cupido comyntas","777889"
"46","Papilio glaucus","Papilio glaucus","species","Papillon glauque","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio glaucus","188547"
"47","Hesperia sassacus","Hesperia sassacus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia sassacus","706628"
"48","Cercyonis pegala","Cercyonis pegala","species","Satyre des prés","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cercyonis","Cercyonis pegala","778122"
"49","Danaus plexippus","Danaus plexippus","species","Monarque","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Danaus","Danaus plexippus","117273"
"50","Erynnis juvenalis","Erynnis juvenalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis juvenalis","706744"
"51","Vanessa atalanta","Vanessa atalanta","species","Vulcain","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta","188599"
"52","Lethe anthedon","Lethe anthedon","species","Satyre perlé","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe anthedon","778106"
"53","Lethe eurydice","Lethe eurydice","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe eurydice","778108"
"54","Megisto cymela","Megisto cymela","species","Petit satyre des bois","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptychia","Megisto cymela","778120"
"55","Erynnis lucilius","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis scudderi","706745"
"56","Satyrium caryaevorus","Satyrium caryaevorus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Strymon caryaevorus","777820"
"57","Colias hecla","Colias hecla","species","Ambré","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias hecla","188527"
"58","Neophasia menapia","Neophasia menapia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Neophasia","Neophasia menapia","777770"
"59","Chlosyne palla","Chlosyne palla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne palla","778078"
"60","Erynnis pacuvius","Erynnis pacuvius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis pacuvius","706748"
"61","Papilio palamedes","Papilio palamedes","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio palamedes","777720"
"62","Calycopis cecrops","Calycopis cecrops","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Calycopis","Calycopis cecrops","777860"
"63","Pieris oleracea","Pieris oleracea","species","Piéride des crucifères","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris oleracea","777778"
"64","Agraulis vanillae","Agraulis vanillae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione","Dione vanillae","777975"
"65","Pyrgus oileus","Pyrgus oileus","species","Hespérie tropicale à damier","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus oileus","706776"
"66","Siproeta stelenes","Siproeta stelenes","species","Malachite","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Siproeta","Siproeta stelenes","778047"
"67","Hypaurotis crysalus","Hypaurotis crysalus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Hypaurotis","Hypaurotis crysalus","777803"
"68","Celastrina lucia","Celastrina lucia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina","Celastrina lucia","777891"
"69","Phyciodes tharos","Phyciodes tharos","species","Croissant perlé","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","Phyciodes tharos","188584"
"70","Ancyloxypha numitor","Ancyloxypha numitor","species","Hespérie délicate","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ancyloxypha","Ancyloxypha numitor","706668"
"71","Nymphalis antiopa","Nymphalis antiopa","species","Chenille épineuse de l'orme","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis antiopa","188597"
"72","Poanes viator","Poanes viator","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Poanes","Poanes viator","706641"
"73","Euphydryas phaeton","Euphydryas phaeton","species","Baltimore","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euphydryas","Euphydryas phaeton","778057"
"74","Lycaena epixanthe","Lycaena epixanthe","species","Cuivre des tourbières","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena epixanthe","188509"
"75","Polygonia comma","Polygonia comma","species","Polygone virgule","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia comma","778042"
"76","Vanessa cardui","Vanessa cardui","species","Belle dame","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa cardui","188601"
"77","Epargyreus clarus","Epargyreus clarus","species","Hespérie à taches argentées","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Epargyreus","Epargyreus clarus","117282"
"78","Euphyes vestris","Euphyes vestris","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes vestris","706613"
"79","Papilio polyxenes","Papilio polyxenes","species","Papillon du céleri","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Papilio","Charaxes bernardus","188543"
"80","Celastrina neglecta","Celastrina neglecta","species","Azur estival","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina","Cyaniris neglecta","777896"
"81","Colias interior","Colias interior","species","Coliade intérieure","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias interior","188530"
"82","Callophrys augustinus","Callophrys augustinus","species","Lutin brun","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia","Incisalia irioides","188501"
"83","Polites mystic","Polites mystic","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites mystic","706648"
"84","Boloria freija","Boloria freija","species","Nacré de l'orcette","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria freija","188575"
"85","Eurytides marcellus","Eurytides marcellus","species","Eurytides marcellus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Protographium","Protographium marcellus","777694"
"86","Feniseca tarquinius","Feniseca tarquinius","species","Moissonneur","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Feniseca","Feniseca tarquinius","777787"
"87","Lycaena arota","Lycaena arota","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Lycaena","Lycaena arota","777790"
"88","Adelpha eulalia","Adelpha eulalia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis bredowii","777972"
"89","Callophrys mcfarlandi","Callophrys mcfarlandi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Sandia","Callophrys mcfarlandi","777846"
"90","Erynnis telemachus","Erynnis telemachus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis telemachus","706752"
"91","Zestusa dorus","Zestusa dorus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Zestusa","Zestusa dorus","706846"
"92","Anthocharis sara thoosa","Anthocharis sara thoosa","subspecies","Anthocharis thoosa","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis","Anthocharis thoosa","778531"
"93","Apodemia mormo","Apodemia mormo","species","Mormon","Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae","Apodemia","Apodemia mormo","201268"
"94","Cyllopsis gemma","Cyllopsis gemma","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cyllopsis","Euptychia cornelius","778114"
"95","Nastra lherminier","Nastra lherminier","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Nastra","Nastra lherminier","706684"
"96","Glutophrissa drusilla","Glutophrissa drusilla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Glutophrissa","Glutophrissa drusilla","777768"
"97","Strymon martialis","Strymon martialis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Thecla","Thecla martialis","777869"
"98","Eurema daira","Eurema daira","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Eurema","Eurema daira","777724"
"99","Eantis tamenund","Eantis tamenund","species","Achlyodes mithridates","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Eantis","Eantis tamenund","706735"
"100","Erebia pawloskii","Erebia pawloskii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia pawloskii","778135"
"101","Plebejus acmon","Plebejus acmon","species","Icaricia acmon","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus acmon","777928"
"102","Calycopis isobeon","Calycopis isobeon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Calycopis","Calycopis isobeon","777861"
"103","Lethe creola","Lethe creola","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe creola","778107"
"104","Amblyscirtes celia","Amblyscirtes celia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Mastor","Mastor celia","706571"
"105","Cabares potrillo","Cabares potrillo","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Cabares","Cabares potrillo","706808"
"106","Cogia calchas","Cogia calchas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Cogia","Caicella calchas","706732"
"107","Nastra julia","Nastra julia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Nastra","Nastra julia","706683"
"108","Pyrgus philetas","Pyrgus philetas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus philetas","706777"
"109","Staphylus mazans","Staphylus mazans","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Staphylus","Staphylus mazans","706786"
"110","Wallengrenia otho","Wallengrenia otho","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Wallengrenia","Wallengrenia otho","706665"
"111","Battus polydamas","Battus polydamas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Battus","Battus polydamas","777693"
"112","Pyrisitia proterpia","Pyrisitia proterpia","species","Eurema proterpia","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pyrisitia","Pyrisitia proterpia","777731"
"113","Amblyscirtes aesculapius","Amblyscirtes aesculapius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes","Amblyscirtes aesculapius","706566"
"114","Callophrys irus","Callophrys irus","species","Lutin givré","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys","Thecla irus","777851"
"115","Erebia mancinus","Erebia mancinus","species","Alpin à ocelles rouges","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia mancinus","778129"
"116","Erebia disa","Erebia disa","species","Moiré boréal","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia disa","188563"
"117","Asterocampa clyton","Asterocampa clyton","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Asterocampa","Asterocampa clyton","778006"
"118","Atrytonopsis hianna","Atrytonopsis hianna","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atrytonopsis","Atrytonopsis hianna","706596"
"119","Euphyes bimacula","Euphyes bimacula","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes bimacula","706608"
"120","Euphyes conspicua","Euphyes conspicua","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes conspicua","777684"
"121","Pieris angelika","Pieris angelika","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris angelika","777776"
"122","Oeneis polixenes","Oeneis polixenes","species","Nordique alpin","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis polixenes","188560"
"123","Erebia occulta","Erebia occulta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia occulta","778138"
"124","Erebia youngi","Erebia youngi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia youngi","778136"
"125","Colias palaeno","Colias palaeno","species","Solitaire","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias palaeno","188532"
"126","Plebejus optilete","Plebejus optilete","species","Azuré de la canneberge","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Vacciniina optilete","777931"
"127","Oeneis uhleri","Oeneis uhleri","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis uhleri","778147"
"128","Chlosyne damoetas","Chlosyne damoetas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne damoetas","778079"
"129","Plebejus shasta","Plebejus shasta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus shasta","777927"
"130","Phyciodes mylitta","Phyciodes mylitta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Eresia","Phyciodes mylitta","778093"
"131","Cercyonis oetus","Cercyonis oetus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cercyonis","Cercyonis oetus","778125"
"132","Colias occidentalis","Colias occidentalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias occidentalis","777735"
"133","Lycaena editha","Lycaena editha","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena editha","777793"
"134","Atalopedes campestris","Atalopedes campestris","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atalopedes","Atalopedes campestris","706589"
"135","Erynnis funeralis","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis funeralis","706741"
"136","Oeneis nevadensis","Oeneis nevadensis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis nevadensis","778145"
"137","Erebia vidleri","Erebia vidleri","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia vidleri","778127"
"138","Erynnis afranius","Erynnis afranius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis afranius","706738"
"139","Urbanus proteus","Urbanus proteus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Urbanus","Urbanus proteus","117290"
"140","Anartia jatrophae","Anartia jatrophae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Anartia","Anartia jatrophae","778044"
"141","Heliconius charithonia","Heliconius charithonia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Heliconius","Heliconius charithonia","777979"
"142","Lycaena dospassosi","Lycaena dospassosi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Epidemia","Lycaena dospassosi","777799"
"143","Pompeius verna","Pompeius verna","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pompeius","Pompeius verna","706657"
"144","Celastrina","Celastrina","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina","","23804"
"145","Colias","Colias","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","","170968"
"146","Boloria","Boloria","subgenus","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","","188566"
"147","Aglais io","Aglais io","species","Paon du jour","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais","Aglais io",NA
"148","Oeneis bore","Oeneis bore","species","Chamoisé boréal","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","Oeneis bore","778143"
"149","Boloria polaris","Boloria polaris","species","Nacré polaire","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria polaris","188576"
"150","Boloria chariclea","Boloria chariclea","species","Nacré lapon","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria chariclea","188571"
"151","Euchloe olympia","Euchloe olympia","species","Olympe","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Euchloe","Euchloe olympia","777763"
"152","Coenonympha nipisiquit","Coenonympha inornata","species","Satyre fauve","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha inornata",NA
"153","Euptoieta claudia","Euptoieta claudia","species","Fritillaire panachée","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptoieta","Euptoieta claudia","777981"
"154","Euphyes dion","Euphyes dion","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Euphyes","Euphyes dion","706610"
"155","Satyrium","Satyrium","genus","","Plantae","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","","777550"
"156","Hesperia comma","Hesperia comma","species","Virgule","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia comma","188611"
"157","Plebejus melissa","Plebejus melissa","species","Bleu mélissa","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus melissa","777922"
"158","Speyeria atlantis","Speyeria atlantis","species","Argynne de l'atlantique","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria atlantis","188565"
"159","Asterocampa celtis","Asterocampa celtis","species","Papillon du micocoulier","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Asterocampa","Asterocampa celtis","778004"
"160","Satyrium calanus","Satyrium calanus","species","Porte-queue du chêne","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium calanus","777819"
"161","Satyrium edwardsii","Satyrium edwardsii","species","Porte-queue d'edwards","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium edwardsii","777818"
"162","Satyrium acadica","Satyrium acadica","species","Porte-queue d'acadie","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium acadica","777814"
"163","Chlosyne harrisii","Chlosyne harrisii","species","Damier de harris","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne harrisii","188582"
"164","Lethe appalachia","Lethe appalachia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe","Lethe appalachia","778109"
"165","Limenitis arthemis astyanax","Limenitis arthemis astyanax","subspecies","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis arthemis","779032"
"166","Erynnis baptisiae","Erynnis baptisiae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis baptisiae","706739"
"167","Erynnis horatius","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis horatius","706742"
"168","Polygonia gracilis","Polygonia gracilis","species","Polygone gracile","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia gracilis","188590"
"169","Callophrys eryphon","Callophrys eryphon","species","Lutin du pin gris","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia","Callophrys eryphon","777854"
"170","Libytheana carinenta","Libytheana carinenta","species","Papillon longs-palpes","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Libytheana","Libytheana carinenta","777961"
"171","Pyrgus communis","Pyrgus communis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus communis","706775"
"172","Pyrisitia lisa","Pyrisitia lisa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pyrisitia","Pyrisitia lisa","777732"
